8.880000000000000000e+02,6.130000000000000000e+02
8.860000000000000000e+02,6.150000000000000000e+02
8.860000000000000000e+02,6.250000000000000000e+02
8.870000000000000000e+02,6.260000000000000000e+02
8.980000000000000000e+02,6.260000000000000000e+02
8.990000000000000000e+02,6.250000000000000000e+02
8.990000000000000000e+02,6.190000000000000000e+02
8.980000000000000000e+02,6.180000000000000000e+02
8.980000000000000000e+02,6.170000000000000000e+02
8.970000000000000000e+02,6.160000000000000000e+02
8.970000000000000000e+02,6.150000000000000000e+02
8.950000000000000000e+02,6.130000000000000000e+02
